Sentence,Label
"고등학교 시절 모의고사 수학시험에서 4등급을 받자 누구보다 열정적으로 원인을 분석하고 공부하였습니다.",성공경험
"그 결과, 수능에서 이과 수학 2등급을 받았습니다.",성공경험
"제출 전까지 여러 번의 수정과 팀원 개개인들의 갑작스러운 일정 변화에도 대처할 수 있었고 최종적으로 활동 우수자로 선정되었습니다.",성공경험
"저는 문제가 무엇인지 팀원들과 함께 고민하였고 카메라를 DSLR로 업그레이드하고 소재를 다양화하는 등 영상 과제의 퀄리티를 높였습니다.",성공경험
"그 이후로 저희 팀은 우수팀으로 3번 선정되었고 영상 콘테스트에서 상도 받았습니다.",성공경험
"관련 수업을 통해 예술교육에 대한 지식을 습득했고, '국내 박물관의 교육 전문인력 양성 프로그램'에 관한 연구와 '시니어 대상 미디어아트 교육 프로그램' 기획안 등의 결과물을 도출하며 예술교육프로그램을 분석하고 기획하는 법을 배웠습니다.",성공경험
"서울동행 툴킷기획단에 참여하며, 초등학생들의 혐오표현과 잘못된 언어습관에 대한 문제의식을 창의성과 게이미피케이션의 관점에서 풀어낸 보드게임 '레인보우 타일즈'를 기획하였습니다.",성공경험
"운동장 한켠에서 책을 읽는 '이동도서관'을 통해 도서관의 문턱을 낮추고자 했고, <셜록 홈즈>같은 책의 내용을 다양한 게임으로 재구성하여 책에 흥미를 가질 수 있는 행사를 진행하였습니다.",성공경험
"봉사활동에 대한 열정을 인정받아 예술봉사장학금을 2회 수상하였습니다.",성공경험
"이로 인해 일에 자신감을 가지게 되었고 처음 마음먹었던 3개월의 기간을 포기하지 않고 무사히 끝낼 수 있었습니다.",성공경험
"학창 시절 삼양식품에서 주관하는 삼양라면 마케팅 공모전에서 금상을 수상한 적 있습니다.",성공경험
"RPA 작업으로 ‘㈜휴웰’의 전산 수량 문제의 해결 방법을 RPA로 구현시킨 적 있습니다.",성공경험
"과거 데이터와 SAP전산 상의 데이터를 비교하여 직접 계산한 화물 특송 비용, 보험 처리 비용 등이 실제 계산된 비용과 오차 범위가 적을 때 가장 뿌듯했습니다.",성공경험
"총 31장의 옷을 판매하였고 순이익 122,000원을 희망브리지에 전액 기부하였습니다.",성공경험
"ERP 자격증 시험에 떨어졌을 때도 포기하거나 푸념하지 않고 지금까지 해온 과정을 뒤돌아 보고 오류를 수정하여 다음 시험에서 고득점으로 합격했습니다.",성공경험
"사진관에서 아르바이트하며 평소보다 3배 많은 손님들의 사진을 찍고 보정한 경험이 있습니다.",성공경험
"저는 휠체어를 타거나 거동이 어려워 장시간 대기가 힘든 손님들에게 먼저 물건 목록을 들고 다가가 어떤 것을 고를지 미리 묻고 손님이 원하는 물건을 가지고 나와 보여주고 대신 카드 결제를 해주는 식으로 장애인 손님들의 대기 시간을 줄이고자 노력했습니다.",성공경험
"그 결과 반도체 Sputter, Etching 공정 최적화를 이뤄내어 기존 소자 대비 광전류 밀도를 68% 개선을 이뤄냈습니다.",성공경험
"대학교에서 3년간의 중앙밴드 동아리 활동을 진행하며 학교 축제 무대를 성공적으로 이끌었습니다.",성공경험
"6개월 간의 건설 현장 아르바이트를 통해 40대에서 60대까지 다양한 연령대의 그룹에서도 원활한 협업을 통해 그 당시 목표였던 대학원 등록금 마련에 성공했습니다.",성공경험
"6개월 이상의 시행착오 끝에 완벽한 공정 recipe로 안정된 구조의 소자 제작에 성공하였습니다.",성공경험
"새롭게 제작된 소자는 기존 소자 대비 광전류 밀도가 68% 향상되었고 해당 데이터로 논문을 작성하여 SCI 저널에 제2 저자로 게재하는 연구성과를 냈습니다.",성공경험
"분석 중 웹 진입자 수를 그동안 잘못 인식해왔던 오류를 발견하고, 개발자와 협력하여 원인을 파악한 뒤 부서에 공유하였습니다.",성공경험
"상품 기획 부서와 커뮤니케이션을 통해 대시보드를 재구성하여 관리하였습니다.",성공경험
